Responsibility,GuiPath,SweepPath,FitPath,EquivalentImplementation,DuplicationSeverity,SurfaceSpecific,ProposedOwner,RecommendedAction,Evidence
branch validation,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,1,high,0,shared public request-construction core,centralize,near-identical local helper and error-ID implementation in all three builders
frequency validation,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,1,high,0,shared public request-construction core,centralize,near-identical local helper and error-ID implementation in all three builders
material aliases,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,1,high,0,shared public request-construction core,centralize,near-identical local helper and error-ID implementation in all three builders
geometry aliases,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,1,high,0,shared public request-construction core,centralize,near-identical local helper and error-ID implementation in all three builders
fluid aliases,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,1,high,0,shared public request-construction core,centralize,near-identical local helper and error-ID implementation in all three builders
etaS resolution,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,1,high,0,shared public request-construction core,centralize,near-identical local helper and error-ID implementation in all three builders
scalar validation,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,1,high,0,shared public request-construction core,centralize,near-identical local helper and error-ID implementation in all three builders
numerical preset,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,1,medium,0,shared public request-construction core,centralize,near-identical local helper and error-ID implementation in all three builders
selection strategy,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,1,medium,0,shared public request-construction core,centralize,near-identical local helper and error-ID implementation in all three builders
termination policy,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,1,medium,0,shared public request-construction core,centralize,near-identical local helper and error-ID implementation in all three builders
fallback policy,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,1,medium,0,shared public request-construction core,centralize,near-identical local helper and error-ID implementation in all three builders
grid policy,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,0,low,1,fit evaluator,retain surface-specific,fitOptimized/numericalPreset is a Fit workflow concern
sweep point application,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,0,none,1,sweep wrapper,retain surface-specific,applySweepPoint exists only in Sweep builder
fit settings,analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,analysis/mrlfe/mrlfeBuildFitSolveRequest.m,0,none,1,fit wrapper,retain surface-specific,fit parameter/options precedence exists only in Fit builder
