Path,Extension,TopLevelArea,LineCount,NonblankNoncommentLineCount,Category,CurrentRole,MainLine,DirectCallers,DynamicCallRisk,TestCoverage,DocumentationReferences,Decision,TargetPathOrReplacement,Risk,RequiredValidation,Evidence,Notes
analysis/execution_profiles/benchmarkMRLFEExecutionProfiles.m,.m,analysis,239,219,supporting evidence,"mRLFE-related tracked artifact",0,analysis/repository_audit/buildRepositoryDensityAudit.m;tests/app/execution_profiles/test_mrlfe_execution_profile_benchmark_contract.m,explicit dynamic reference,tests/app/execution_profiles/test_mrlfe_execution_profile_benchmark_contract.m,docs/repository/test_suite_audit.md;docs/repository/test_suite_audit_brief.md;docs/repository/test_suite_final_architecture.md;docs/validation/mrlfe_execution_profile_benchmark.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=2; test references=1; documentation references=4,""
analysis/mrlfe/compareMRLFETrackingStrategies.m,.m,analysis,108,86,diagnostic-only helper,"legacy comparison whose strategies now coincide",0,analysis/repository_audit/buildRepositoryDensityAudit.m;tests/models/mrlfe/test_mrlfe_internal_grid_quality_guard.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/models/mrlfe/test_mrlfe_tracking_strategy_comparison.m;tests/runners/run_mrlfe_smoke_tests.m,explicit dynamic reference,tests/models/mrlfe/test_mrlfe_internal_grid_quality_guard.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/models/mrlfe/test_mrlfe_tracking_strategy_comparison.m;tests/runners/run_mrlfe_smoke_tests.m,README.md;docs/models/mrlfe/archive/pending_cleanup.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_density_audit.md,delete,current public solver tests,low,"focused mRLFE tests",git-tracked; exact token callers=5; test references=4; documentation references=4,""
analysis/mrlfe/mrlfeBuildFitFrequencyGrid.m,.m,analysis,101,83,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,analysis/mrlfe/mrlfeEvaluateFitModel.m;tests/app/fitting/test_mrlfe_fit_public_solver_characterization.m;tests/models/mrlfe/test_mrlfe_fit_frequency_grid_contract.m,none found,tests/app/fitting/test_mrlfe_fit_public_solver_characterization.m;tests/models/mrlfe/test_mrlfe_fit_frequency_grid_contract.m,docs/repository/mrlfe_line_and_repository_density_audit.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=3; test references=2; documentation references=1,""
analysis/mrlfe/mrlfeBuildFitProblem.m,.m,analysis,224,178,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,analysis/mrlfe/mrlfeFitDispersionData.m;examples/mrlfe/diagnostics/diagnose_etaS_forward_cache.m;tests/runners/run_core_smoke_tests.m,none found,tests/runners/run_core_smoke_tests.m,docs/archive/fitting_phases/fitting_phase5_status.md;docs/archive/fitting_phases/fitting_phase8_status.md;docs/models/mrlfe/atlas_policy_notes.md;docs/models/mrlfe/docs_cleanup_audit.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_density_audit.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=3; test references=1; documentation references=6,""
analysis/mrlfe/mrlfeBuildFitSolveRequest.m,.m,analysis,155,135,application/interface line,"surface-specific public request mapper",1,analysis/mrlfe/mrlfeEvaluateFitModel.m;analysis/repository_audit/buildRepositoryDensityAudit.m;examples/mrlfe/diagnostics/run_mrlfe_targeted_grid_validation.m;tests/app/fitting/test_mrlfe_fit_public_solver_characterization.m;tests/app/sweeps/test_mrlfe_sweep_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_fit_fast_options_quality.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m,explicit dynamic reference,tests/app/fitting/test_mrlfe_fit_public_solver_characterization.m;tests/app/sweeps/test_mrlfe_sweep_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_fit_fast_options_quality.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m,docs/models/mrlfe/fitting_workflow.md;docs/models/mrlfe/production_core.md;docs/models/mrlfe/public_api.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_density_audit.md;docs/workflows/fitting/architecture.md,consolidate,analysis/mrlfe/mrlfeBuildPublicSolveRequest.m plus thin wrappers,high,"builder contracts and all three surface parity tests",git-tracked; exact token callers=7; test references=4; documentation references=6,""
analysis/mrlfe/mrlfeBuildGuiSolveRequest.m,.m,analysis,124,107,application/interface line,"surface-specific public request mapper",1,analysis/repository_audit/buildRepositoryDensityAudit.m;app/adapters/guiRunMRLFEModel.m;tests/app/gui/test_mrlfe_main_gui_characterization.m;tests/app/gui/test_mrlfe_main_gui_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_legacy_cleanup_characterization.m,explicit dynamic reference,tests/app/gui/test_mrlfe_main_gui_characterization.m;tests/app/gui/test_mrlfe_main_gui_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_legacy_cleanup_characterization.m,docs/models/mrlfe/production_core.md;docs/models/mrlfe/public_api.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_density_audit.md;docs/workflows/gui/adapter_architecture.md,consolidate,analysis/mrlfe/mrlfeBuildPublicSolveRequest.m plus thin wrappers,high,"builder contracts and all three surface parity tests",git-tracked; exact token callers=5; test references=3; documentation references=5,""
analysis/mrlfe/mrlfeBuildSweepSolveRequest.m,.m,analysis,169,148,application/interface line,"surface-specific public request mapper",1,analysis/repository_audit/buildRepositoryDensityAudit.m;app/adapters/guiRunMRLFESweep.m,explicit dynamic reference,,docs/models/mrlfe/production_core.md;docs/models/mrlfe/public_api.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_density_audit.md;docs/workflows/gui/adapter_architecture.md;docs/workflows/sweeps/sweep_tool_usage.md,consolidate,analysis/mrlfe/mrlfeBuildPublicSolveRequest.m plus thin wrappers,high,"builder contracts and all three surface parity tests",git-tracked; exact token callers=2; test references=0; documentation references=6,""
analysis/mrlfe/mrlfeDefaultSweepOptions.m,.m,analysis,49,40,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,analysis/execution_profiles/validateExecutionProfileMatrix.m;analysis/mrlfe/mrlfeBuildFitProblem.m;analysis/mrlfe/mrlfeEvaluateFitModel.m;analysis/mrlfe/mrlfeRunSweepExample.m;analysis/performance/run_execution_profile_benchmark.m;app/FitTool_GUI.m;app/mrlfeResolveExecutionProfile.m;examples/mrlfe/diagnostics/diagnose_etaS_forward_cache.m;examples/mrlfe/diagnostics/diagnose_fit_option_sensitivity.m;examples/mrlfe/diagnostics/diagnose_fit_timing.m;examples/mrlfe/diagnostics/run_mrlfe_targeted_grid_validation.m;examples/mrlfe/fitting/fit_mrlfe_A0Like.m;tests/app/execution_profiles/test_execution_profile_fit_curve_metadata.m;tests/app/execution_profiles/test_execution_profile_surface_metadata.m;tests/app/fitting/test_execution_profile_current_contract.m;tests/app/fitting/test_fit_tool_requested_curve_models.m;tests/app/fitting/test_gui_fit_registry_contract.m;tests/app/fitting/test_gui_mrlfe_fit_full_curve_fast_contract.m;tests/app/fitting/test_gui_mrlfe_fit_route_policy_contract.m;tests/app/fitting/test_gui_mrlfe_fixed_etaS_fit_contract.m;tests/app/fitting/test_mrlfe_fit_grid_policy_performance.m;tests/app/fitting/test_mrlfe_fit_public_solver_characterization.m;tests/app/fitting/test_mrlfe_fit_public_solver_parameter_regression.m;tests/app/fitting/test_mrlfe_fit_uses_public_solver.m;tests/app/gui/test_mrlfe_main_gui_consumer_equivalence.m;tests/models/mrlfe/test_mrlfe_etaS_fit_forward_cache.m;tests/models/mrlfe/test_mrlfe_fit_fast_options_quality.m;tests/models/mrlfe/test_mrlfe_fit_synthetic_A0Like.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m;tests/shared/fitting/test_fit_validation_mrlfe.m;tests/shared/fitting/test_fit_validation_mrlfe_hidden_params.m,none found,tests/app/execution_profiles/test_execution_profile_fit_curve_metadata.m;tests/app/execution_profiles/test_execution_profile_surface_metadata.m;tests/app/fitting/test_execution_profile_current_contract.m;tests/app/fitting/test_fit_tool_requested_curve_models.m;tests/app/fitting/test_gui_fit_registry_contract.m;tests/app/fitting/test_gui_mrlfe_fit_full_curve_fast_contract.m;tests/app/fitting/test_gui_mrlfe_fit_route_policy_contract.m;tests/app/fitting/test_gui_mrlfe_fixed_etaS_fit_contract.m;tests/app/fitting/test_mrlfe_fit_grid_policy_performance.m;tests/app/fitting/test_mrlfe_fit_public_solver_characterization.m;tests/app/fitting/test_mrlfe_fit_public_solver_parameter_regression.m;tests/app/fitting/test_mrlfe_fit_uses_public_solver.m;tests/app/gui/test_mrlfe_main_gui_consumer_equivalence.m;tests/models/mrlfe/test_mrlfe_etaS_fit_forward_cache.m;tests/models/mrlfe/test_mrlfe_fit_fast_options_quality.m;tests/models/mrlfe/test_mrlfe_fit_synthetic_A0Like.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m;tests/shared/fitting/test_fit_validation_mrlfe.m;tests/shared/fitting/test_fit_validation_mrlfe_hidden_params.m,docs/architecture/execution_profiles_audit.md;docs/repository/maintained_entrypoints.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=31; test references=19; documentation references=2,""
analysis/mrlfe/mrlfeDefaultSweepParams.m,.m,analysis,17,12,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,analysis/execution_profiles/benchmarkMRLFEExecutionProfiles.m;analysis/execution_profiles/validateExecutionProfileMatrix.m;analysis/mrlfe/mrlfeBuildFitProblem.m;analysis/mrlfe/mrlfeRunSweepExample.m;analysis/performance/run_execution_profile_benchmark.m;analysis/performance/run_execution_profile_regression_smoke.m;app/FitTool_GUI.m;examples/mrlfe/diagnostics/diagnose_etaS_forward_cache.m;examples/mrlfe/diagnostics/diagnose_fit_option_sensitivity.m;examples/mrlfe/diagnostics/diagnose_fit_timing.m;examples/mrlfe/diagnostics/run_mrlfe_targeted_grid_validation.m;examples/mrlfe/fitting/fit_mrlfe_A0Like.m;tests/app/execution_profiles/test_execution_profile_fit_curve_metadata.m;tests/app/execution_profiles/test_execution_profile_surface_metadata.m;tests/app/fitting/test_execution_profile_current_contract.m;tests/app/fitting/test_fit_tool_requested_curve_models.m;tests/app/fitting/test_gui_fit_registry_contract.m;tests/app/fitting/test_gui_mrlfe_fit_full_curve_fast_contract.m;tests/app/fitting/test_gui_mrlfe_fit_route_policy_contract.m;tests/app/fitting/test_gui_mrlfe_fixed_etaS_fit_contract.m;tests/app/fitting/test_mrlfe_fit_grid_policy_performance.m;tests/app/fitting/test_mrlfe_fit_public_solver_characterization.m;tests/app/fitting/test_mrlfe_fit_public_solver_parameter_regression.m;tests/app/fitting/test_mrlfe_fit_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_etaS_fit_forward_cache.m;tests/models/mrlfe/test_mrlfe_fit_fast_options_quality.m;tests/models/mrlfe/test_mrlfe_fit_synthetic_A0Like.m;tests/shared/fitting/test_fit_validation_mrlfe.m;tests/shared/fitting/test_fit_validation_mrlfe_hidden_params.m,none found,tests/app/execution_profiles/test_execution_profile_fit_curve_metadata.m;tests/app/execution_profiles/test_execution_profile_surface_metadata.m;tests/app/fitting/test_execution_profile_current_contract.m;tests/app/fitting/test_fit_tool_requested_curve_models.m;tests/app/fitting/test_gui_fit_registry_contract.m;tests/app/fitting/test_gui_mrlfe_fit_full_curve_fast_contract.m;tests/app/fitting/test_gui_mrlfe_fit_route_policy_contract.m;tests/app/fitting/test_gui_mrlfe_fixed_etaS_fit_contract.m;tests/app/fitting/test_mrlfe_fit_grid_policy_performance.m;tests/app/fitting/test_mrlfe_fit_public_solver_characterization.m;tests/app/fitting/test_mrlfe_fit_public_solver_parameter_regression.m;tests/app/fitting/test_mrlfe_fit_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_etaS_fit_forward_cache.m;tests/models/mrlfe/test_mrlfe_fit_fast_options_quality.m;tests/models/mrlfe/test_mrlfe_fit_synthetic_A0Like.m;tests/shared/fitting/test_fit_validation_mrlfe.m;tests/shared/fitting/test_fit_validation_mrlfe_hidden_params.m,docs/repository/maintained_entrypoints.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=29; test references=17; documentation references=1,""
analysis/mrlfe/mrlfeEvaluateFitModel.m,.m,analysis,178,160,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,analysis/execution_profiles/benchmarkMRLFEExecutionProfiles.m;analysis/execution_profiles/validateExecutionProfileMatrix.m;analysis/mrlfe/mrlfeBuildFitProblem.m;analysis/performance/run_execution_profile_benchmark.m;analysis/performance/run_execution_profile_regression_smoke.m;app/FitTool_GUI.m;app/fitting/guiEvaluateRequestedFitCurve.m;examples/mrlfe/diagnostics/diagnose_etaS_forward_cache.m;examples/mrlfe/diagnostics/diagnose_fit_option_sensitivity.m;examples/mrlfe/diagnostics/diagnose_fit_timing.m;examples/mrlfe/fitting/fit_mrlfe_A0Like.m;tests/app/execution_profiles/test_execution_profile_fit_curve_metadata.m;tests/app/execution_profiles/test_execution_profile_surface_metadata.m;tests/app/fitting/test_execution_profile_current_contract.m;tests/app/fitting/test_fit_tool_requested_curve_models.m;tests/app/fitting/test_gui_fit_registry_contract.m;tests/app/fitting/test_gui_mrlfe_fit_full_curve_fast_contract.m;tests/app/fitting/test_gui_mrlfe_fit_route_policy_contract.m;tests/app/fitting/test_gui_mrlfe_fixed_etaS_fit_contract.m;tests/app/fitting/test_mrlfe_fit_grid_policy_performance.m;tests/app/fitting/test_mrlfe_fit_public_solver_characterization.m;tests/app/fitting/test_mrlfe_fit_public_solver_parameter_regression.m;tests/app/fitting/test_mrlfe_fit_uses_public_solver.m;tests/app/gui/test_mrlfe_main_gui_consumer_equivalence.m;tests/models/mrlfe/test_mrlfe_etaS_fit_forward_cache.m;tests/models/mrlfe/test_mrlfe_fit_fast_options_quality.m;tests/models/mrlfe/test_mrlfe_fit_synthetic_A0Like.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m;tests/models/mrlfe/test_mrlfe_no_legacy_routes.m;tests/models/mrlfe/test_mrlfe_production_core_contract.m;tests/runners/run_core_smoke_tests.m;tests/shared/fitting/test_fit_validation_mrlfe.m;tests/shared/fitting/test_fit_validation_mrlfe_hidden_params.m,none found,tests/app/execution_profiles/test_execution_profile_fit_curve_metadata.m;tests/app/execution_profiles/test_execution_profile_surface_metadata.m;tests/app/fitting/test_execution_profile_current_contract.m;tests/app/fitting/test_fit_tool_requested_curve_models.m;tests/app/fitting/test_gui_fit_registry_contract.m;tests/app/fitting/test_gui_mrlfe_fit_full_curve_fast_contract.m;tests/app/fitting/test_gui_mrlfe_fit_route_policy_contract.m;tests/app/fitting/test_gui_mrlfe_fixed_etaS_fit_contract.m;tests/app/fitting/test_mrlfe_fit_grid_policy_performance.m;tests/app/fitting/test_mrlfe_fit_public_solver_characterization.m;tests/app/fitting/test_mrlfe_fit_public_solver_parameter_regression.m;tests/app/fitting/test_mrlfe_fit_uses_public_solver.m;tests/app/gui/test_mrlfe_main_gui_consumer_equivalence.m;tests/models/mrlfe/test_mrlfe_etaS_fit_forward_cache.m;tests/models/mrlfe/test_mrlfe_fit_fast_options_quality.m;tests/models/mrlfe/test_mrlfe_fit_synthetic_A0Like.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m;tests/models/mrlfe/test_mrlfe_no_legacy_routes.m;tests/models/mrlfe/test_mrlfe_production_core_contract.m;tests/runners/run_core_smoke_tests.m;tests/shared/fitting/test_fit_validation_mrlfe.m;tests/shared/fitting/test_fit_validation_mrlfe_hidden_params.m,docs/architecture/execution_profiles_audit.md;docs/architecture/execution_profiles_dependency_map.md;docs/archive/fitting_phases/fitting_phase11_status.md;docs/archive/fitting_phases/fitting_phase5_status.md;docs/archive/fitting_phases/fitting_phase7_status.md;docs/archive/fitting_phases/fitting_phase8_status.md;docs/models/mrlfe/README.md;docs/models/mrlfe/atlas_policy_notes.md;docs/models/mrlfe/docs_cleanup_audit.md;docs/models/mrlfe/fitting_workflow.md;docs/models/mrlfe/production_core.md;docs/models/mrlfe/public_api.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_density_audit.md;docs/validation/mrlfe_legacy_route_inventory.md;docs/validation/mrlfe_solver_route_audit.md;docs/workflows/fitting/architecture.md;docs/workflows/gui/mrlfe_atlas_policy_integration.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=33; test references=22; documentation references=18,""
